fact	theory	serial	serial_max	component_count	source_file	source_line	concealed	has_skip_proof	depends_on_article_sorry
pss_paper.p_7_4_Mark_Trans_repr	pss_paper	476112	476112	1	isabelle/pss_paper.thy	1403	false	true	true
pss_paper.p_7_4_Trans_Mark_seg	pss_paper	476118	476118	1	isabelle/pss_paper.thy	1416	false	true	true
pss_paper.p_7_4_RightNodes_Mark	pss_paper	476128	476128	1	isabelle/pss_paper.thy	1432	false	true	true
pss_paper.p_7_4_RightAnces_RightNodes	pss_paper	476508	476508	1	isabelle/pss_paper.thy	1464	false	true	true
pss_paper.p_7_4_RightAnces_zeroT	pss_paper	476514	476514	1	isabelle/pss_paper.thy	1471	false	true	true
pss_paper.p_8_2_standard_slice_Red_strongmono	pss_paper	476524	476524	1	isabelle/pss_paper.thy	1499	false	true	true
pss_paper.p_8_2_strongmono_slice	pss_paper	476532	476532	1	isabelle/pss_paper.thy	1509	false	true	true
pss_paper.p_8_2_subexpr_component_Pred	pss_paper	476540	476540	1	isabelle/pss_paper.thy	1523	false	true	true
pss_paper.p_8_2_subexpr_component_strongmono	pss_paper	476548	476548	1	isabelle/pss_paper.thy	1563	false	true	true
pss_paper.p_8_2_condV_rightmost_parent	pss_paper	476556	476556	1	isabelle/pss_paper.thy	1588	false	true	true
pss_paper.p_8_2_condV_terminal_slice_Trans	pss_paper	476564	476564	1	isabelle/pss_paper.thy	1607	false	true	true
pss_paper.p_8_2_condIIIV_terminal_slice_Trans	pss_paper	476572	476572	1	isabelle/pss_paper.thy	1627	false	true	true
pss_paper.p_8_1_diagSeq_Trans	pss_paper	476580	476580	1	isabelle/pss_paper.thy	1658	false	true	true
pss_paper.p_8_1_Pred_diagSeq_Trans	pss_paper	476588	476588	1	isabelle/pss_paper.thy	1670	false	true	true
pss_paper.p_8_1_condI_III_c1_around	pss_paper	476596	476596	1	isabelle/pss_paper.thy	1710	false	true	true
pss_paper.p_8_1_Trans_fseq_condI	pss_paper	476604	476606	2	isabelle/pss_paper.thy	1769	false	true	true
pss_paper.p_8_3_kind0_base_ineq	pss_paper	476614	476614	1	isabelle/pss_paper.thy	1795	false	true	true
pss_paper.p_8_3_kind0_branch_rule	pss_paper	476622	476622	1	isabelle/pss_paper.thy	1813	false	true	true
pss_paper.p_8_3_kind0_base_basepoint	pss_paper	476630	476632	2	isabelle/pss_paper.thy	1832	false	true	true
pss_paper.p_8_3_TransCondII_oper_descend	pss_paper	476640	476640	1	isabelle/pss_paper.thy	1863	false	true	true
pss_paper.p_8_4_Trans_oper_exchange	pss_paper	476648	476652	3	isabelle/pss_paper.thy	1909	false	true	true
pss_paper.p_8_4_rightmost_nonadm_ancestor	pss_paper	476660	476666	4	isabelle/pss_paper.thy	1931	false	true	true
pss_paper.p_8_4_oper_basic	pss_paper	476674	476678	3	isabelle/pss_paper.thy	2017	false	true	true
pss_paper.p_8_5_Trans_oper_exchange	pss_paper	476686	476690	3	isabelle/pss_paper.thy	2070	false	true	true
pss_paper.p_8_5_Joints_FirstNodes_basic	pss_paper	476698	476704	4	isabelle/pss_paper.thy	2098	false	true	true
pss_paper.p_8_6_const2nd_Trans	pss_paper	476712	476712	1	isabelle/pss_paper.thy	2162	false	true	true
pss_paper.p_8_6_diagSeq_Trans_oper	pss_paper	476720	476720	1	isabelle/pss_paper.thy	2176	false	true	true
pss_paper.p_8_6_trailing_principal_annihilable	pss_paper	476728	476728	1	isabelle/pss_paper.thy	2191	false	true	true
