fact	theory	source_file	source_line	has_skip_proof	depends_on_article_sorry	consumer_chapters	dependency_chapters	consumer_article_count	bucket	availability_stage
pss_mechanized.le1_trans	pss_mechanized	isabelle/pss_mechanized.thy	4870	false	false	7		1	chapter-7/local	PSS/pre-5
pss_mechanized.leR_trans	pss_mechanized	isabelle/pss_mechanized.thy	4875	false	false	7		1	chapter-7/local	PSS/pre-5
pss_mechanized.nextR_imp_leR	pss_mechanized	isabelle/pss_mechanized.thy	4882	false	false	7		1	chapter-7/local	PSS/pre-5
pss_mechanized.nextrel1_chain	pss_mechanized	isabelle/pss_mechanized.thy	4902	false	false	7,8		31	PSS/cross-chapter	PSS/pre-5
pss_mechanized.adm_row1_ancestry	pss_mechanized	isabelle/pss_mechanized.thy	4935	true	false	7,8		31	PSS/cross-chapter	PSS/pre-5
pss_mechanized.parent_max	pss_mechanized	isabelle/pss_mechanized.thy	4969	false	false	6,7,8		47	PSS/cross-chapter	PSS/pre-5
pss_mechanized.chain_imp_rtranclp	pss_mechanized	isabelle/pss_mechanized.thy	5068	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.rtranclp_imp_chain	pss_mechanized	isabelle/pss_mechanized.thy	5100	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.rtranclp_iff_chain	pss_mechanized	isabelle/pss_mechanized.thy	5134	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.leR_eq_chain	pss_mechanized	isabelle/pss_mechanized.thy	5144	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.oper_degenerate_eq_Pred	pss_mechanized	isabelle/pss_mechanized.thy	5169	false	false	6		1	chapter-6/local	PSS/pre-5
pss_mechanized.Lng_diagSeq	pss_mechanized	isabelle/pss_mechanized.thy	5200	false	false	6,7,8		64	PSS/cross-chapter	PSS/pre-5
pss_mechanized.diagSeq_nth	pss_mechanized	isabelle/pss_mechanized.thy	5203	false	false	6,7,8		64	PSS/cross-chapter	PSS/pre-5
pss_mechanized.entry_diagSeq	pss_mechanized	isabelle/pss_mechanized.thy	5212	false	false	6,7,8		60	PSS/cross-chapter	PSS/pre-5
pss_mechanized.length_nth_le_concat	pss_mechanized	isabelle/pss_mechanized.thy	5221	true	false	6,7,8		61	PSS/cross-chapter	PSS/pre-5
pss_mechanized.Lng_Br_le	pss_mechanized	isabelle/pss_mechanized.thy	5237	true	false	6,7,8		61	PSS/cross-chapter	PSS/pre-5
pss_mechanized.nextR1_diagSeq	pss_mechanized	isabelle/pss_mechanized.thy	5264	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.TrMax_diagSeq	pss_mechanized	isabelle/pss_mechanized.thy	5296	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.nextrel0_diagSeq_step	pss_mechanized	isabelle/pss_mechanized.thy	5348	false	false	6,7,8		49	PSS/cross-chapter	PSS/pre-5
pss_mechanized.nextrel0_diagSeq_rtrancl	pss_mechanized	isabelle/pss_mechanized.thy	5362	false	false	6,7,8		49	PSS/cross-chapter	PSS/pre-5
pss_mechanized.nextrel1_diagSeq_rtrancl	pss_mechanized	isabelle/pss_mechanized.thy	5386	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.le0_diagSeq	pss_mechanized	isabelle/pss_mechanized.thy	5408	false	false	6,7,8		49	PSS/cross-chapter	PSS/pre-5
pss_mechanized.le1_diagSeq	pss_mechanized	isabelle/pss_mechanized.thy	5424	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.leR_diagSeq	pss_mechanized	isabelle/pss_mechanized.thy	5443	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.TrMax_IncrFirst	pss_mechanized	isabelle/pss_mechanized.thy	5455	false	false	6,7,8		50	PSS/cross-chapter	PSS/pre-5
pss_mechanized.Lng_funpow_IncrFirst	pss_mechanized	isabelle/pss_mechanized.thy	5458	false	false	6,7,8		62	PSS/cross-chapter	PSS/pre-5
pss_mechanized.TrMax_funpow_IncrFirst	pss_mechanized	isabelle/pss_mechanized.thy	5461	false	false	6,7,8		50	PSS/cross-chapter	PSS/pre-5
pss_mechanized.nextR1_consecutive	pss_mechanized	isabelle/pss_mechanized.thy	5471	false	false	6,7,8		61	PSS/cross-chapter	PSS/pre-5
pss_mechanized.entry_diagSeq_append_lo	pss_mechanized	isabelle/pss_mechanized.thy	5496	false	false	6,7,8		61	PSS/cross-chapter	PSS/pre-5
pss_mechanized.entry_diagSeq_append_junction	pss_mechanized	isabelle/pss_mechanized.thy	5507	false	false	6,7,8		61	PSS/cross-chapter	PSS/pre-5
pss_mechanized.nextrel0_diagSeq_append_step	pss_mechanized	isabelle/pss_mechanized.thy	5520	false	false	6,7,8		41	PSS/cross-chapter	PSS/pre-5
