rank	fact	serial	theory	source_file	source_line
187	pss_mechanized.drop_eq_map_nth	480246	pss_mechanized	isabelle/pss_mechanized.thy	887
188	pss_mechanized.seg_0_eq_take	480300	pss_mechanized	isabelle/pss_mechanized.thy	890
189	pss_mechanized.seg_to_last_eq_drop	480370	pss_mechanized	isabelle/pss_mechanized.thy	896
190	pss_mechanized.P_add_drop_eq_map_nth	480422	pss_mechanized	isabelle/pss_mechanized.thy	907
191	pss_mechanized.P_add_seg_0_eq_take	480462	pss_mechanized	isabelle/pss_mechanized.thy	911
192	pss_mechanized.P_add_seg_to_last_eq_drop	480500	pss_mechanized	isabelle/pss_mechanized.thy	917
193	pss_mechanized.P_add_Pcut_props	480548	pss_mechanized	isabelle/pss_mechanized.thy	932
194	pss_mechanized.P_add_Pcut_left_min	480642	pss_mechanized	isabelle/pss_mechanized.thy	949
195	pss_mechanized.P_add_drop_ancestor	480730	pss_mechanized	isabelle/pss_mechanized.thy	994
196	pss_mechanized.m_6_2_P_additive	480978	pss_mechanized	isabelle/pss_mechanized.thy	1033
197	pss_mechanized.Pcut_le	481020	pss_mechanized	isabelle/pss_mechanized.thy	1163
198	pss_mechanized.drop_eq_seg	481098	pss_mechanized	isabelle/pss_mechanized.thy	1177
199	pss_mechanized.m_6_2_P_components_1	481216	pss_mechanized	isabelle/pss_mechanized.thy	1191
200	pss_mechanized.adm_nextrel0_seg	481310	pss_mechanized	isabelle/pss_mechanized.thy	1280
201	pss_mechanized.adm_le0_seg_M_to_N	481416	pss_mechanized	isabelle/pss_mechanized.thy	1333
202	pss_mechanized.adm_le0_seg_N_to_M	481544	pss_mechanized	isabelle/pss_mechanized.thy	1357
203	pss_mechanized.adm_le0_seg	481600	pss_mechanized	isabelle/pss_mechanized.thy	1379
204	pss_mechanized.adm_nextrel1_seg	481698	pss_mechanized	isabelle/pss_mechanized.thy	1411
205	pss_mechanized.adm_nextR1_seg	481770	pss_mechanized	isabelle/pss_mechanized.thy	1485
206	pss_mechanized.m_6_3_adm_slice	481882	pss_mechanized	isabelle/pss_mechanized.thy	1492
207	pss_mechanized.adm_zero	481896	pss_mechanized	isabelle/pss_mechanized.thy	1560
208	pss_mechanized.adm_below_set_finite	481920	pss_mechanized	isabelle/pss_mechanized.thy	1569
209	pss_mechanized.adm_below_set_nonempty	481956	pss_mechanized	isabelle/pss_mechanized.thy	1572
210	pss_mechanized.adm_Adm_adm	481974	pss_mechanized	isabelle/pss_mechanized.thy	1587
211	pss_mechanized.adm_Adm_le	481992	pss_mechanized	isabelle/pss_mechanized.thy	1601
212	pss_mechanized.adm_Adm_max	482052	pss_mechanized	isabelle/pss_mechanized.thy	1615
213	pss_mechanized.m_6_3_admof_slice	482116	pss_mechanized	isabelle/pss_mechanized.thy	1631
214	pss_mechanized.m_6_3_marked_slice	482200	pss_mechanized	isabelle/pss_mechanized.thy	1691
215	pss_mechanized.poper_P_multi	482312	pss_mechanized	isabelle/pss_mechanized.thy	1735
216	pss_mechanized.poper_P_nonmulti	482394	pss_mechanized	isabelle/pss_mechanized.thy	1740
217	pss_mechanized.poper_concat_P	482450	pss_mechanized	isabelle/pss_mechanized.thy	1745
218	pss_mechanized.poper_last_P_multi	482506	pss_mechanized	isabelle/pss_mechanized.thy	1768
219	pss_mechanized.poper_entry_drop	482564	pss_mechanized	isabelle/pss_mechanized.thy	1779
220	pss_mechanized.poper_nextrel0_drop	482700	pss_mechanized	isabelle/pss_mechanized.thy	1786
221	pss_mechanized.poper_le0_drop_fwd	482740	pss_mechanized	isabelle/pss_mechanized.thy	1841
222	pss_mechanized.poper_le0_drop_bwd	482802	pss_mechanized	isabelle/pss_mechanized.thy	1856
223	pss_mechanized.poper_le0_drop	482904	pss_mechanized	isabelle/pss_mechanized.thy	1878
224	pss_mechanized.poper_nextrel1_drop	482958	pss_mechanized	isabelle/pss_mechanized.thy	1900
225	pss_mechanized.poper_le1_drop_fwd	483016	pss_mechanized	isabelle/pss_mechanized.thy	1964
226	pss_mechanized.poper_le1_drop_bwd	483182	pss_mechanized	isabelle/pss_mechanized.thy	1979
227	pss_mechanized.poper_le1_drop	483376	pss_mechanized	isabelle/pss_mechanized.thy	2001
228	pss_mechanized.poper_nextR_drop	483542	pss_mechanized	isabelle/pss_mechanized.thy	2023
229	pss_mechanized.poper_leR_drop	483700	pss_mechanized	isabelle/pss_mechanized.thy	2029
230	pss_mechanized.poper_nextR_imp_le0	483834	pss_mechanized	isabelle/pss_mechanized.thy	2037
231	pss_mechanized.poper_parent_ge_c	483978	pss_mechanized	isabelle/pss_mechanized.thy	2058
232	pss_mechanized.poper_parent_set_drop	484142	pss_mechanized	isabelle/pss_mechanized.thy	2091
233	pss_mechanized.poper_hasParent_drop	484288	pss_mechanized	isabelle/pss_mechanized.thy	2130
234	pss_mechanized.poper_parent_drop	484436	pss_mechanized	isabelle/pss_mechanized.thy	2171
235	pss_mechanized.poper_oper_expand	484954	pss_mechanized	isabelle/pss_mechanized.thy	2203
236	pss_mechanized.poper_oper_nth0	485304	pss_mechanized	isabelle/pss_mechanized.thy	2227
237	pss_mechanized.poper_take_append_take_drop	485378	pss_mechanized	isabelle/pss_mechanized.thy	2297
238	pss_mechanized.poper_Pred_split	485486	pss_mechanized	isabelle/pss_mechanized.thy	2302
239	pss_mechanized.poper_oper_drop	485896	pss_mechanized	isabelle/pss_mechanized.thy	2324
240	pss_mechanized.m_6_2_P_oper_1	486548	pss_mechanized	isabelle/pss_mechanized.thy	2470
241	pss_mechanized.m_6_2_P_oper_2	487142	pss_mechanized	isabelle/pss_mechanized.thy	2539
242	pss_mechanized.idxsum_concat_P	487196	pss_mechanized	isabelle/pss_mechanized.thy	2658
243	pss_mechanized.idxsum_nth	487242	pss_mechanized	isabelle/pss_mechanized.thy	2682
244	pss_mechanized.idxsum_sum_take_mono	487348	pss_mechanized	isabelle/pss_mechanized.thy	2695
245	pss_mechanized.idxsum_diff	487440	pss_mechanized	isabelle/pss_mechanized.thy	2709
246	pss_mechanized.idxsum_concat_block	487566	pss_mechanized	isabelle/pss_mechanized.thy	2727
247	pss_mechanized.map_nth_range_eq_take_drop	487644	pss_mechanized	isabelle/pss_mechanized.thy	2748
248	pss_mechanized.idxsum_P_component_nonempty	487716	pss_mechanized	isabelle/pss_mechanized.thy	2755
249	pss_mechanized.m_6_4_P_IdxSum	487918	pss_mechanized	isabelle/pss_mechanized.thy	2776
250	pss_mechanized.idxsum_parent0_unique	488004	pss_mechanized	isabelle/pss_mechanized.thy	2823
251	pss_mechanized.idxsum_ex1_parent0_iff	488038	pss_mechanized	isabelle/pss_mechanized.thy	2854
252	pss_mechanized.idxsum_no_parent0_iff	488114	pss_mechanized	isabelle/pss_mechanized.thy	2860
253	pss_mechanized.idxsum_leftend_lmin	488282	pss_mechanized	isabelle/pss_mechanized.thy	2888
254	pss_mechanized.idxsum_lmin_leftend	488506	pss_mechanized	isabelle/pss_mechanized.thy	2983
255	pss_mechanized.m_6_4_P_IdxSum_char_1	488542	pss_mechanized	isabelle/pss_mechanized.thy	3097
256	pss_mechanized.m_6_4_P_IdxSum_char_2	488682	pss_mechanized	isabelle/pss_mechanized.thy	3117
257	pss_mechanized.idxsum_mono	488728	pss_mechanized	isabelle/pss_mechanized.thy	3133
258	pss_mechanized.m_6_4_P_leftend_mono	488762	pss_mechanized	isabelle/pss_mechanized.thy	3149
259	pss_mechanized.nonmulti_Pred	488798	pss_mechanized	isabelle/pss_mechanized.thy	3217
260	pss_mechanized.entry_concat_replicate_lt	488848	pss_mechanized	isabelle/pss_mechanized.thy	3243
261	pss_mechanized.P_concat_replicate_nonmulti	488904	pss_mechanized	isabelle/pss_mechanized.thy	3254
262	pss_mechanized.m_6_2_nonmulti_oper_1	489002	pss_mechanized	isabelle/pss_mechanized.thy	3329
263	pss_mechanized.m_6_2_nonmulti_oper_2	489204	pss_mechanized	isabelle/pss_mechanized.thy	3399
264	pss_mechanized.m_6_4_mono_slice_next	489440	pss_mechanized	isabelle/pss_mechanized.thy	3633
265	pss_mechanized.TrMax_bound	489582	pss_mechanized	isabelle/pss_mechanized.thy	3706
266	pss_mechanized.m_6_4_FirstNodes_TrMax_Joints	489672	pss_mechanized	isabelle/pss_mechanized.thy	3744
267	pss_mechanized.FirstNodes_nth	489774	pss_mechanized	isabelle/pss_mechanized.thy	3786
268	pss_mechanized.Joints_nth	489868	pss_mechanized	isabelle/pss_mechanized.thy	3794
269	pss_mechanized.nextR0_largest_below	489878	pss_mechanized	isabelle/pss_mechanized.thy	3802
270	pss_mechanized.entry_FirstNodes_eq_component	490000	pss_mechanized	isabelle/pss_mechanized.thy	3817
271	pss_mechanized.m_6_4_FirstNodes_Joints_mono_aux	490146	pss_mechanized	isabelle/pss_mechanized.thy	3871
272	pss_mechanized.m_6_4_FirstNodes_Joints_mono	490306	pss_mechanized	isabelle/pss_mechanized.thy	3977
273	pss_mechanized.TrMax_trunk_step	490364	pss_mechanized	isabelle/pss_mechanized.thy	3987
274	pss_mechanized.trunk_le1	490452	pss_mechanized	isabelle/pss_mechanized.thy	4016
275	pss_mechanized.trunk_le0	490496	pss_mechanized	isabelle/pss_mechanized.thy	4047
276	pss_mechanized.idxsum_locate	490538	pss_mechanized	isabelle/pss_mechanized.thy	4055
277	pss_mechanized.branch_component_le0	490672	pss_mechanized	isabelle/pss_mechanized.thy	4090
